 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
2,1,0,0.9696969696969697,0.7569620253164557,0.6,0.8644444444444445,0.08247422680412371,0.9072164948453608,0.5790816326530612,0.54421768707483,1
0,0,1,0.41414141414141414,0.30886075949367087,0.4,0.4633333333333333,0.09278350515463918,0.1134020618556701,0.22448979591836735,0.22448979591836735,0
3,1,0,0.9191919191919192,0.7518987341772152,1.0,0.5622222222222222,0.24398625429553264,0.23195876288659795,0.8494897959183674,0.8707482993197279,0
3,1,0,0.8282828282828283,0.7772151898734178,0.4,0.5188888888888888,0.6254295532646048,0.17010309278350516,0.5943877551020408,0.5374149659863946,0
5,0,1,0.98989898989899,0.6126582278481013,1.0,0.42444444444444446,0.4261168384879725,0.422680412371134,0.75,0.3401360544217687,0
0,1,1,0.48484848484848486,0.34177215189873417,0.5,0.35444444444444445,0.23367697594501718,0.42783505154639173,0.3494897959183674,0.3469387755102041,0
5,1,0,0.8787878787878788,0.8354430379746836,0.2,0.7533333333333333,0.7731958762886598,0.7628865979381443,0.7448979591836735,0.2925170068027211,1
2,1,1,0.5757575757575758,0.379746835443038,1.0,0.42444444444444446,0.4536082474226804,0.29381443298969073,0.3010204081632653,0.40816326530612246,0
0,1,1,0.08080808080808081,0.05569620253164557,1.0,0.8688888888888889,0.044673539518900345,0.041237113402061855,0.07142857142857142,0.04081632653061224,1
5,0,0,0.1111111111111111,0.10886075949367088,0.5,0.4311111111111111,0.10996563573883161,0.07216494845360824,0.08418367346938775,0.10884353741496598,0
4,1,1,0.29292929292929293,0.28354430379746837,0.1,0.6077777777777778,0.27835051546391754,0.2422680412371134,0.2423469387755102,0.2108843537414966,1
2,0,1,0.6767676767676768,0.5746835443037974,0.9,0.5977777777777777,0.5257731958762887,0.29896907216494845,0.5204081632653061,0.43537414965986393,0
3,0,1,0.5050505050505051,0.2936708860759494,0.8,0.34555555555555556,0.21993127147766323,0.4948453608247423,0.37244897959183676,0.2925170068027211,0
2,1,1,0.9191919191919192,0.7974683544303798,0.7,0.7544444444444445,0.3711340206185567,0.8556701030927835,0.5331632653061225,0.3401360544217687,1
1,0,0,0.1919191919191919,0.18734177215189873,0.3,0.5211111111111111,0.06529209621993128,0.061855670103092786,0.15051020408163265,0.1292517006802721,0
5,0,0,0.47474747474747475,0.2708860759493671,0.5,0.8822222222222222,0.1958762886597938,0.20103092783505155,0.41836734693877553,0.29931972789115646,1
2,1,1,0.050505050505050504,0.04050632911392405,0.2,0.7366666666666667,0.044673539518900345,0.005154639175257732,0.03316326530612245,0.047619047619047616,1
4,0,1,0.29292929292929293,0.2379746835443038,0.7,0.8666666666666667,0.09965635738831616,0.14432989690721648,0.17091836734693877,0.2925170068027211,1
2,1,0,0.2727272727272727,0.2607594936708861,0.5,0.8177777777777778,0.03436426116838488,0.0,0.15816326530612246,0.22448979591836735,1
5,1,0,0.6363636363636364,0.369620253164557,0.6,0.7244444444444444,0.3539518900343643,0.18041237113402062,0.5994897959183674,0.4013605442176871,1
2,1,0,0.5050505050505051,0.4911392405063291,0.6,0.35,0.32646048109965636,0.08247422680412371,0.45918367346938777,0.41496598639455784,0
4,1,0,0.5858585858585859,0.35443037974683544,0.8,0.5888888888888889,0.13058419243986255,0.5824742268041238,0.5663265306122449,0.3673469387755102,0
4,1,1,0.6565656565656566,0.6506329113924051,0.9,0.34555555555555556,0.45017182130584193,0.08762886597938144,0.49744897959183676,0.5782312925170068,0
0,0,1,0.050505050505050504,0.035443037974683546,0.1,0.6122222222222222,0.030927835051546393,0.030927835051546393,0.02806122448979592,0.02040816326530612,1
0,0,0,0.494949494949495,0.2481012658227848,0.8,0.36,0.13058419243986255,0.4484536082474227,0.25510204081632654,0.22448979591836735,0
5,0,0,0.31313131313131315,0.24050632911392406,1.0,0.5711111111111111,0.27147766323024053,0.15979381443298968,0.1683673469387755,0.17687074829931973,0
4,1,0,0.8282828282828283,0.7113924050632912,0.6,0.7733333333333333,0.3951890034364261,0.5463917525773195,0.6454081632653061,0.4897959183673469,1
4,0,1,0.24242424242424243,0.14177215189873418,0.2,0.7355555555555555,0.15463917525773196,0.21649484536082475,0.1377551020408163,0.17006802721088435,1
5,0,1,0.7070707070707071,0.6075949367088608,0.3,0.37333333333333335,0.07903780068728522,0.6134020618556701,0.701530612244898,0.6598639455782312,0
3,0,1,0.9090909090909091,0.7974683544303798,0.5,0.9444444444444444,0.7491408934707904,0.6391752577319587,0.8596938775510204,0.54421768707483,1
2,0,0,0.98989898989899,0.640506329113924,0.6,0.3477777777777778,0.6941580756013745,0.26804123711340205,0.6505102040816326,0.6326530612244898,0
2,1,0,0.5757575757575758,0.3037974683544304,0.3,0.4033333333333333,0.12371134020618557,0.38144329896907214,0.5535714285714286,0.2925170068027211,0
1,0,1,0.08080808080808081,0.04050632911392405,0.5,0.48444444444444446,0.024054982817869417,0.010309278350515464,0.05612244897959184,0.06802721088435375,0
5,0,1,0.8484848484848485,0.5569620253164557,0.1,0.9222222222222223,0.13058419243986255,0.20103092783505155,0.5076530612244898,0.3673469387755102,1
3,1,0,0.494949494949495,0.3012658227848101,0.4,0.68,0.3333333333333333,0.061855670103092786,0.4846938775510204,0.3945578231292517,1
2,1,1,0.1717171717171717,0.08607594936708861,0.4,0.7677777777777778,0.09278350515463918,0.14432989690721648,0.15306122448979592,0.061224489795918366,1
3,0,0,0.16161616161616163,0.1569620253164557,0.9,0.7066666666666667,0.11683848797250859,0.03608247422680412,0.13520408163265307,0.09523809523809523,1
5,1,1,0.8080808080808081,0.6886075949367089,0.3,0.38666666666666666,0.21993127147766323,0.015463917525773196,0.4260204081632653,0.48299319727891155,0
5,1,0,0.36363636363636365,0.1949367088607595,0.8,0.9222222222222223,0.24054982817869416,0.06701030927835051,0.25510204081632654,0.19727891156462585,1
3,0,1,0.15151515151515152,0.1291139240506329,0.3,0.39111111111111113,0.003436426116838488,0.010309278350515464,0.14285714285714285,0.061224489795918366,0
